"cf_894id";"cf_894";"presence";"picklist_valueid";"SUBCAT"
"6";"---";"1";"802710";"Sub 1"
"7";"COPERTURE";"1";"802711";"Sub 1"
"8";"GAZEBI E PERGOLE";"1";"802712";"Sub 1"
"9";"TERRAZZE E FACCIATE";"1";"802713";"Sub 1"
"10";"IMPRESA EDILE";"1";"802714";"Sub 1"
"11";"RIVENDITORE DI LEGNAME / SEGHERIA";"1";"802715";"Sub 1"
"12";"Immobiliare";"1";"1295090";"Sub 1"
"13";"GENERAL CONTRACTOR";"1";"1295739";"Sub 1"
"14";"FALEGNAME";"1";"1295740";"Sub 1"
"15";"PAVIMENTISTA";"1";"1304002";"Sub 1"
"16";"LATTONIERE";"1";"1304003";"Sub 1"
"17";"CONCIATETTO";"1";"1305812";"Sub 1"
"1";"FERRAMSPEC";"1";"874951";"Sub 2"
"2";"FERRAMGEN";"1";"874952";"Sub 2"
"3";"GROSSISTA";"1";"874953";"Sub 2"
"4";"RIVELEGNAME";"1";"874954";"Sub 2"
"5";"RIVEMATED";"1";"874955";"Sub 2"
"6";"GRUPPIACQ";"1";"874956";"Sub 2"
"7";"GDO";"1";"874957";"Sub 2"
"8";"ELETTROMEC";"1";"874958";"Sub 2"
"9";"RIVEATTRED";"1";"874959";"Sub 2"
"10";"NOLEGGI";"1";"874960";"Sub 2"
"11";"GARDEN";"1";"874961";"Sub 2"
"12";"CONAGR";"1";"874962";"Sub 2"
"13";"---";"1";"930816";"Sub 2"
"14";"RIVENDITORE MACCHINE LEGNO";"1";"1294463";"Sub 2"
"1";"RIVEANTICAD";"1";"874963";"Sub 3"
"2";"INDEXTRALEGNO";"1";"874964";"Sub 3"
"3";"CARPMET";"1";"874965";"Sub 3"
"4";"IMPEDILE";"1";"874966";"Sub 3"
"5";"LATTONERIA";"1";"874967";"Sub 3"
"6";"IMPERM";"1";"874968";"Sub 3"
"7";"AMIANTO";"1";"874969";"Sub 3"
"8";"IMPIANTISTI";"1";"874970";"Sub 3"
"9";"MONTANTICAD";"1";"874971";"Sub 3"
"10";"AMMINISTRCOND";"1";"874972";"Sub 3"
"11";"PROGANTICAD";"1";"874973";"Sub 3"
"12";"RESPSICUR";"1";"874974";"Sub 3"
"13";"CLIFINALE";"1";"874975";"Sub 3"
"14";"---";"1";"930817";"Sub 3"
"5";"---";"1";"802716";"Sub 4"
"10";"ING.";"1";"1295087";"Sub 4"
"11";"ARCH.";"1";"1295088";"Sub 4"
"12";"GEOM.";"1";"1295089";"Sub 4"
"1";"PRIVATI";"1";"874976";"Sub 5"
"2";"EILDENOTETTI";"1";"874977";"Sub 5"
"3";"CARTONG";"1";"874978";"Sub 5"
"4";"UNIVERSITA";"1";"874979";"Sub 5"
"5";"SCUOLEPROF";"1";"874980";"Sub 5"
"6";"ENTEPUBB";"1";"874981";"Sub 5"
"7";"COOPERAT";"1";"930818";"Sub 5"
"8";"---";"1";"1294108";"Sub 5"
"9";"ORDINI DI CATEGORIA";"1";"1295682";"Sub 5"
"10";"ASSOCIAZIONE";"1";"1295738";"Sub 5"
